Enemie,Game,Relation
Bob-omb,Mario Party Advance,ENEMY_IN
Bob-omb,New Super Mario Bros. Wii,ENEMY_IN
Bob-omb,Mario Kart World,ENEMY_IN
Bob-omb,Mario Party 7,ENEMY_IN
Bob-omb,Super Mario Galaxy 2,ENEMY_IN
Bob-omb,Mario Party 8,ENEMY_IN
Bob-omb,Super Mario 3D Land,ENEMY_IN
Bob-omb,Mario Party DS,ENEMY_IN
Bob-omb,New Super Mario Bros. 2,ENEMY_IN
Bob-omb,Mario Party 9,ENEMY_IN
Bob-omb,New Super Mario Bros. U / New Super Mario Bros. U Deluxe,ENEMY_IN
Bob-omb,Mario Party: Island Tour,ENEMY_IN
Bob-omb,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,ENEMY_IN
Bob-omb,Mario Party 10,ENEMY_IN
Bob-omb,Super Mario Maker subseries,ENEMY_IN
Bob-omb,Mario Party: Star Rush,ENEMY_IN
Bob-omb,Super Mario Run,ENEMY_IN
Bob-omb,Mario Party: The Top 100,ENEMY_IN
Bob-omb,Super Mario Bros. Wonder,ENEMY_IN
Bob-omb,Super Mario Party,ENEMY_IN
Bob-omb,Mario Party Superstars,ENEMY_IN
Bob-omb,Super Mario Party Jamboree,ENEMY_IN
Bomp,Super Mario 64 / Super Mario 64 DS,ENEMY_IN
Bomp,Super Mario Galaxy,ENEMY_IN
Bomp,Super Mario Galaxy 2,ENEMY_IN
Bone Piranha Plant,New Super Mario Bros. 2,ENEMY_IN
Bone Piranha Plant,Mario Kart 8 / Mario Kart 8 Deluxe,ENEMY_IN
Bone Piranha Plant,Super Mario Bros. Wonder,ENEMY_IN
Bone Piranha Plant,Mario Kart Tour,ENEMY_IN
Bomber Bill,Super Mario World,ENEMY_IN
Bomber Bill,Mario Party 5,ENEMY_IN
Bomber Bill,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,ENEMY_IN
Bomber Bill,New Super Mario Bros.,ENEMY_IN
Bomber Bill,Mario Party 6,ENEMY_IN
