Boss,Game,Relation
Cheep Cheep,Super Mario 3D Land,BOSS_IN
Cheep Cheep,Mario Kart Tour,BOSS_IN
Cheep Cheep,Mario Party 9,BOSS_IN
Cheep Cheep,New Super Mario Bros. 2,BOSS_IN
Cheep Cheep,Mario Kart Live: Home Circuit,BOSS_IN
Cheep Cheep,Mario Party: Island Tour,BOSS_IN
Cheep Cheep,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Cheep Cheep,Mario Kart World,BOSS_IN
Cheep Cheep,Mario Party 10,BOSS_IN
Cheep Cheep,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Cheep Cheep,Mario Party: Star Rush,BOSS_IN
Cheep Cheep,Super Mario Maker series,BOSS_IN
Cheep Cheep,Super Mario Party,BOSS_IN
Cheep Cheep,Super Mario Odyssey,BOSS_IN
Cheep Cheep,Super Mario Party Jamboree,BOSS_IN
Cheep Cheep,Super Mario Bros. Wonder,BOSS_IN
Clawgrip,Super Mario Bros. 2,BOSS_IN
Clawgrip,BS Super Mario USA,BOSS_IN
Boo Buddies,Super Mario World,BOSS_IN
Boo Buddies,New Super Mario Bros. Wii,BOSS_IN
Boo Buddies,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Boo Buddies,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN
Boo Buddies,Super Mario Maker 2,BOSS_IN
Link,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN
Link,Mario Kart 8,BOSS_IN
Link,Super Smash Bros.,BOSS_IN
Link,Super Mario Maker,BOSS_IN
Link,Mario Kart 8 Deluxe,BOSS_IN
Link,Super Smash Bros. Melee,BOSS_IN
Link,Super Mario Maker 2,BOSS_IN
Link,Super Smash Bros. Brawl,BOSS_IN
Link,Super Smash Bros. for Nintendo 3DS / Super Smash Bros. for Wii U,BOSS_IN
Link,Super Smash Bros. Ultimate,BOSS_IN
Dino Piranha,Super Mario Galaxy,BOSS_IN
Dino Piranha,Super Mario Galaxy 2,BOSS_IN
Diddy Kong,Super Mario Maker,BOSS_IN
Diddy Kong,Mario Kart: Double Dash!!,BOSS_IN
